text,label,text_processado,qtd_pronomes,qtd_verbos,qtd_verbos_passado,qtd_frases,media_tokens_por_frase
O cachorro latiu muito quando o carteiro chegou.,0,cachorro latir carteiro chegar,0.0,2.0,0.0,1.0,8.0
Viajei para o interior nas férias e vi meus avós.,0,viajei interior férias ver avós,0.0,2.0,0.0,1.0,10.0
"Hoje fui ao mercado e comprei frutas, legumes e pão.",0,hoje mercado comprei fruta legume pão,0.0,1.0,0.0,1.0,10.0
Meu time ganhou o jogo por dois a zero.,0,time ganhar jogo,0.0,1.0,0.0,1.0,9.0
Minha filha vai fazer aniversário na próxima semana.,0,filha aniversário semana,0.0,1.0,0.0,1.0,8.0
O cachorro latiu muito quando o carteiro chegou.,0,cachorro latir carteiro chegar,0.0,2.0,0.0,1.0,8.0
O almoço de domingo foi delicioso como sempre.,0,almoço domingo delicioso,0.0,0.0,0.0,1.0,8.0
Ontem assisti a um filme muito interessante na TV.,0,assisti filme interessante tv,0.0,1.0,0.0,1.0,9.0
O almoço de domingo foi delicioso como sempre.,0,almoço domingo delicioso,0.0,0.0,0.0,1.0,8.0
O cachorro latiu muito quando o carteiro chegou.,0,cachorro latir carteiro chegar,0.0,2.0,0.0,1.0,8.0
Fiz uma caminhada no parque e encontrei amigos.,0,fiz caminhada parque encontrar amigo,0.0,2.0,0.0,1.0,8.0
Meu time ganhou o jogo por dois a zero.,0,time ganhar jogo,0.0,1.0,0.0,1.0,9.0
Ontem assisti a um filme muito interessante na TV.,0,assisti filme interessante tv,0.0,1.0,0.0,1.0,9.0
Viajei para o interior nas férias e vi meus avós.,0,viajei interior férias ver avós,0.0,2.0,0.0,1.0,10.0
O cachorro latiu muito quando o carteiro chegou.,0,cachorro latir carteiro chegar,0.0,2.0,0.0,1.0,8.0
Fiz uma caminhada no parque e encontrei amigos.,0,fiz caminhada parque encontrar amigo,0.0,2.0,0.0,1.0,8.0
"Hoje fui ao mercado e comprei frutas, legumes e pão.",0,hoje mercado comprei fruta legume pão,0.0,1.0,0.0,1.0,10.0
Viajei para o interior nas férias e vi meus avós.,0,viajei interior férias ver avós,0.0,2.0,0.0,1.0,10.0
Comprei uma bicicleta nova para passear nos finais de semana.,0,comprei bicicleta passear final semana,0.0,2.0,0.0,1.0,10.0
Meu time ganhou o jogo por dois a zero.,0,time ganhar jogo,0.0,1.0,0.0,1.0,9.0
Comprei uma bicicleta nova para passear nos finais de semana.,0,comprei bicicleta passear final semana,0.0,2.0,0.0,1.0,10.0
Gosto de ler livros à tarde com uma xícara de chá.,0,gosto ler livro xícara chá,0.0,1.0,0.0,1.0,11.0
Gosto de ler livros à tarde com uma xícara de chá.,0,gosto ler livro xícara chá,0.0,1.0,0.0,1.0,11.0
Meu time ganhou o jogo por dois a zero.,0,time ganhar jogo,0.0,1.0,0.0,1.0,9.0
Gosto de ler livros à tarde com uma xícara de chá.,0,gosto ler livro xícara chá,0.0,1.0,0.0,1.0,11.0
