text,label,text_processado
O cachorro latiu muito quando o carteiro chegou.,0,cachorro latir carteiro chegar
Viajei para o interior nas férias e vi meus avós.,0,viajei interior férias ver avós
"Hoje fui ao mercado e comprei frutas, legumes e pão.",0,hoje mercado comprei fruta legume pão
Meu time ganhou o jogo por dois a zero.,0,time ganhar jogo
Minha filha vai fazer aniversário na próxima semana.,0,filha aniversário semana
O cachorro latiu muito quando o carteiro chegou.,0,cachorro latir carteiro chegar
O almoço de domingo foi delicioso como sempre.,0,almoço domingo delicioso
Ontem assisti a um filme muito interessante na TV.,0,assisti filme interessante tv
O almoço de domingo foi delicioso como sempre.,0,almoço domingo delicioso
O cachorro latiu muito quando o carteiro chegou.,0,cachorro latir carteiro chegar
Fiz uma caminhada no parque e encontrei amigos.,0,fiz caminhada parque encontrar amigo
Meu time ganhou o jogo por dois a zero.,0,time ganhar jogo
Ontem assisti a um filme muito interessante na TV.,0,assisti filme interessante tv
Viajei para o interior nas férias e vi meus avós.,0,viajei interior férias ver avós
O cachorro latiu muito quando o carteiro chegou.,0,cachorro latir carteiro chegar
Fiz uma caminhada no parque e encontrei amigos.,0,fiz caminhada parque encontrar amigo
"Hoje fui ao mercado e comprei frutas, legumes e pão.",0,hoje mercado comprei fruta legume pão
Viajei para o interior nas férias e vi meus avós.,0,viajei interior férias ver avós
Comprei uma bicicleta nova para passear nos finais de semana.,0,comprei bicicleta passear final semana
Meu time ganhou o jogo por dois a zero.,0,time ganhar jogo
Comprei uma bicicleta nova para passear nos finais de semana.,0,comprei bicicleta passear final semana
Gosto de ler livros à tarde com uma xícara de chá.,0,gosto ler livro xícara chá
Gosto de ler livros à tarde com uma xícara de chá.,0,gosto ler livro xícara chá
Meu time ganhou o jogo por dois a zero.,0,time ganhar jogo
Gosto de ler livros à tarde com uma xícara de chá.,0,gosto ler livro xícara chá
Fiz uma caminhada no parque e encontrei amigos.,0,fiz caminhada parque encontrar amigo
O cachorro latiu muito quando o carteiro chegou.,0,cachorro latir carteiro chegar
Fiz uma caminhada no parque e encontrei amigos.,0,fiz caminhada parque encontrar amigo
Comprei uma bicicleta nova para passear nos finais de semana.,0,comprei bicicleta passear final semana
O cachorro latiu muito quando o carteiro chegou.,0,cachorro latir carteiro chegar
O cachorro latiu muito quando o carteiro chegou.,0,cachorro latir carteiro chegar
"Hoje fui ao mercado e comprei frutas, legumes e pão.",0,hoje mercado comprei fruta legume pão
"Hoje fui ao mercado e comprei frutas, legumes e pão.",0,hoje mercado comprei fruta legume pão
Minha filha vai fazer aniversário na próxima semana.,0,filha aniversário semana
Gosto de ler livros à tarde com uma xícara de chá.,0,gosto ler livro xícara chá
Comprei uma bicicleta nova para passear nos finais de semana.,0,comprei bicicleta passear final semana
"Hoje fui ao mercado e comprei frutas, legumes e pão.",0,hoje mercado comprei fruta legume pão
Ontem assisti a um filme muito interessante na TV.,0,assisti filme interessante tv
